Timestamp,Please enter your age:,Please Choose your gender:,Marital Status:,What is your profession?,What is your monthly income?,How would you describe your family?,What is the total number of members in your family?,"What is the approximate ""average"" age of your family?",The number of Adults in your family,The number of Children in your family,How would you describe your area of residence?,How many people earn for your family?,What is your family's monthly income?,Has any of your family members contracted COVID-19?,Have you lost any family member(s) due to COVID-19?,How would you describe the ease of access to the nearest medical support from your area of residence?,How would you describe the feeling of love in your family?,The lockdown period has allowed your family members to enjoy the time they spend together.,Your family is satisfied with how things are during lockdown.,Your family is thankful with what they have during the lockdown period.,Do you sense fear within the family?,Do you sense anxiety within the family?,How often do fights break out between family members?,Your family members understand and respect each others personal privacy.,What are your Family Reactions whenever a difficult situation arises?,What is the general reaction of the family when there is some form of good news?
8/9/2021 22:16:27,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,38,3,1,Urban Area,1,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It is the same as before the lockdown period,Agree,Neutral,Neutral,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/9/2021 22:17:01,26,Male,Unmarried,Employed,"40,000 - 69,999 BDT",Nuclear Family,4,39.5,4,0,Urban Area,3,Decline to respond,No,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Agree,Disagree,Strongly Agree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Neutral,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/9/2021 22:17:49,20,Male,Unmarried,Student,I do not have any income at the moment,Extended Family,14,30,7,7,Suburban Area,4,"40,000 - 69,999 BDT",No,No,Close but Hard to Manage,It is the same as before the lockdown period,Neutral,Neutral,Agree,I don't feel like there is.,Not at all.,I haven't paid attention.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:18:25,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,8,30,8,0,Rural Area,2,Decline to respond,No,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Strongly Disagree,Neutral,I haven't paid attention.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:19:10,23,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,7,350,7,0,Urban Area,2,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It is the same as before the lockdown period,Agree,Neutral,Neutral,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:20:56,23,Male,Unmarried,Student,"Less than 10,000 BDT",Extended Family,7,35,6,1,Urban Area,3,"70,000 - 100,000 BDT",Yes,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Neutral,Agree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:24:12,23,Male,Unmarried,Student,I do not have any income at the moment,Extended Family,9,39,7,2,Urban Area,4,"40,000 - 69,999 BDT",Yes,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Disagree,Disagree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/9/2021 22:28:28,20,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,06,30,06,02,Urban Area,05,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Strongly Agree,Strongly Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:36:13,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,30,2,2,Urban Area,2,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Disagree,Strongly Agree,I do feel it sometimes.,I do feel it sometimes.,There are fights sometimes.,Disagree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:36:35,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,30,2,2,Urban Area,2,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Disagree,Strongly Agree,I do feel it sometimes.,I do feel it sometimes.,There are fights sometimes.,Disagree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:40:56,22,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,39,4,0,Rural Area,3,"More than 100,000 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Neutral,Strongly Agree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Disagree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:42:11,22,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,27.5,4,1,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Neutral,Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/9/2021 22:42:12,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,29,2,2,Urban Area,1,"10,000 - 39,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Agree,Disagree,Neutral,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:42:44,22,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,34,4,1,Urban Area,1,Decline to respond,Yes,No,Far but Hard to Manage,It has increased a lot during the lockdown period,Agree,Agree,Strongly Agree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/9/2021 22:46:26,23,Male,Unmarried,Unemployed,I do not have any income at the moment,Nuclear Family,5,29,4,3,Urban Area,2,"10,000 - 39,000 BDT",Asymptomatic,No,Close but Hard to Manage,It has slightly decreased during the lockdown period,Neutral,Disagree,Neutral,I do feel it most of the time.,I do feel it most of the time.,Fights are very often.,Neutral,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:47:34,24,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,5,40,2,2,Urban Area,1,"10,000 - 39,000 BDT",Yes,No,Far but Hard to Manage,It has slightly increased during the lockdown period,Agree,Neutral,Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:47:43,30,Female,Married,Employed,"10,000 - 39,000 BDT",Nuclear Family,5,40,4,0,Suburban Area,4,"More than 100,000 BDT",No,No,Close & Manageable.,It has slightly decreased during the lockdown period,Neutral,Agree,Agree,I do feel it sometimes.,I do feel it sometimes.,There are fights sometimes.,Disagree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:48:51,20,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,4,22,1,1,Urban Area,1,"More than 100,000 BDT",No,No,Close & Manageable.,It has slightly increased during the lockdown period,Strongly Agree,Neutral,Neutral,I haven't paid attention.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/9/2021 22:49:58,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,31,3,1,Urban Area,1,"70,000 - 100,000 BDT",Yes,No,Far but Manageable,It has increased a lot during the lockdown period,Agree,Strongly Disagree,Disagree,I haven't paid attention.,I do feel it sometimes.,There are fights sometimes.,Disagree,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/9/2021 22:53:11,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,40,5,3,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close but Hard to Manage,It is the same as before the lockdown period,Agree,Disagree,Disagree,Not at all.,Not at all.,Problems are often resolved before fights break out.,Strongly Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:53:31,23,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,40,2,2,Urban Area,1,"More than 100,000 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Neutral,Neutral,I do feel it sometimes.,I do feel it sometimes.,There are fights sometimes.,Disagree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:54:07,23,Male,Unmarried,Student,I do not have any income at the moment,Extended Family,7,50,3,20,Rural Area,1,"Less than 10,000 BDT",No,Yes,Far but Hard to Manage,It has increased a lot during the lockdown period,Disagree,Neutral,Disagree,I do feel it sometimes.,Not at all.,I haven't paid attention.,Agree,Things are always out of control. No one is responsible at times like these.,There is very little celebration on such occasions.
8/9/2021 22:56:01,21,Female,Unmarried,Student,I do not have any income at the moment,Extended Family,5,75,18,10,Urban Area,2,"More than 100,000 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Agree,Agree,Not at all.,Not at all.,There are fights sometimes.,Disagree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is almost no reaction at all.
8/9/2021 22:57:58,20,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,26,3,3,Rural Area,2,"40,000 - 69,999 BDT",No,No,Far but Hard to Manage,It has slightly increased during the lockdown period,Agree,Agree,Agree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:58:44,30,Female,Married,Employed,"10,000 - 39,000 BDT",Extended Family,12,25,8,4,Rural Area,5,"70,000 - 100,000 BDT",No,No,Far but Manageable,It has slightly increased during the lockdown period,Agree,Neutral,Neutral,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/9/2021 22:58:45,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,38.6,5,0,Urban Area,4,"More than 100,000 BDT",Yes,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Strongly Agree,Neutral,Strongly Agree,Not at all.,Not at all.,Problems are often resolved before fights break out.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 23:00:57,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,3,39,2,0,Urban Area,0,Decline to respond,Yes,No,Close & Manageable.,It has increased a lot during the lockdown period,Neutral,Strongly Disagree,Neutral,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 23:03:22,24,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,7,21,3,1,Suburban Area,2,"40,000 - 69,999 BDT",No,No,Far but Manageable,It has slightly increased during the lockdown period,Disagree,Strongly Disagree,Neutral,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Neutral,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/9/2021 23:08:36,23,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,4,20,4,0,Rural Area,3,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It is the same as before the lockdown period,Neutral,Neutral,Neutral,Not at all.,Not at all.,Problems are often resolved before fights break out.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/9/2021 23:11:16,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,32,3,1,Suburban Area,1,"10,000 - 39,000 BDT",No,No,Far but Manageable,It is the same as before the lockdown period,Neutral,Disagree,Disagree,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/9/2021 23:15:37,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,7,25,3,3,Rural Area,1,"40,000 - 69,999 BDT",No,No,Far but Hard to Manage,It has slightly decreased during the lockdown period,Neutral,Disagree,Disagree,I do feel it sometimes.,I do feel it sometimes.,There are fights sometimes.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/9/2021 23:20:01,22,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,2,36,2,0,Urban Area,0,"More than 100,000 BDT",Yes,Yes,Close but Hard to Manage,It has increased a lot during the lockdown period,Neutral,Neutral,Neutral,I do feel it most of the time.,I do feel it most of the time.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 23:20:51,22,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,30,5,1,Urban Area,1,"70,000 - 100,000 BDT",No,No,Close & Manageable.,It has slightly increased during the lockdown period,Strongly Agree,Disagree,Strongly Agree,Not at all.,I do feel it sometimes.,Problems are often resolved before fights break out.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/9/2021 23:20:59,22,Female,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,4,39,4,0,Urban Area,3,"70,000 - 100,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Disagree,Neutral,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/9/2021 23:26:24,22,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,33,5,0,Urban Area,2,"70,000 - 100,000 BDT",Yes,Yes,Close & Manageable.,It has slightly increased during the lockdown period,Neutral,Disagree,Neutral,I haven't paid attention.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/9/2021 23:42:08,49,Male,Married,Employed,Decline to respond,Nuclear Family,5,35,3,2,Urban Area,1,Decline to respond,No,No,Close but Hard to Manage,It is the same as before the lockdown period,Agree,Neutral,Agree,I do feel it sometimes.,I do feel it sometimes.,Fights are very often.,Neutral,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 23:51:16,25,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,7,40,6,1,Urban Area,3,Decline to respond,No,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Strongly Agree,Disagree,Agree,Not at all.,Not at all.,There are fights sometimes.,Neutral,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/9/2021 23:57:21,40,Male,Married,Employed,"10,000 - 39,000 BDT",Extended Family,6,20,4,2,Urban Area,1,"10,000 - 39,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Strongly Agree,Neutral,Neutral,Not at all.,Not at all.,I haven't paid attention.,Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/10/2021 0:00:35,40,Male,Married,Employed,"10,000 - 39,000 BDT",Extended Family,8,32,5,4,Urban Area,2,"70,000 - 100,000 BDT",Yes,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Agree,Disagree,Neutral,I do feel it sometimes.,I do feel it most of the time.,There are fights sometimes.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/10/2021 0:05:41,21,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,5,39,5,0,Urban Area,3,"70,000 - 100,000 BDT",No,No,Close & Manageable.,It has slightly increased during the lockdown period,Strongly Agree,Neutral,Neutral,I do feel it sometimes.,I haven't paid attention.,Problems are often resolved before fights break out.,Strongly Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/10/2021 0:14:33,24,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,60,2,1,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Strongly Agree,Neutral,Neutral,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/10/2021 0:18:22,23,Male,Unmarried,Student,I do not have any income at the moment,Extended Family,5,45,4,1,Urban Area,1,"10,000 - 39,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Agree,Agree,Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/10/2021 0:19:30,39,Male,Married,Employed,"10,000 - 39,000 BDT",Nuclear Family,5,33,3,2,Urban Area,1,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Agree,Strongly Disagree,Agree,I do feel it most of the time.,I do feel it most of the time.,There hasn't been any major issue that would cause a fight.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/10/2021 0:19:38,23,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,4,40,4,0,Suburban Area,3,"40,000 - 69,999 BDT",Yes,No,Close & Manageable.,It is the same as before the lockdown period,Strongly Agree,Strongly Disagree,Strongly Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/10/2021 0:20:16,26,Male,Unmarried,Personal Business,"Less than 10,000 BDT",Extended Family,7,30,6,1,Urban Area,3,"70,000 - 100,000 BDT",Yes,Yes,Far but Manageable,It has slightly increased during the lockdown period,Strongly Agree,Disagree,Neutral,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Strongly Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/10/2021 0:20:27,24,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,7,30,7,00,Urban Area,3,"40,000 - 69,999 BDT",Asymptomatic,No,Close but Hard to Manage,It is the same as before the lockdown period,Strongly Agree,Disagree,Disagree,I do feel it most of the time.,I do feel it most of the time.,There are fights sometimes.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/10/2021 0:23:11,24,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,3,40,3,0,Urban Area,2,"10,000 - 39,000 BDT",Yes,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Agree,Disagree,Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/10/2021 0:24:47,25,Female,Unmarried,Employed,"10,000 - 39,000 BDT",Nuclear Family,4,39,4,0,Rural Area,3,"70,000 - 100,000 BDT",No,No,Far but Manageable,It is the same as before the lockdown period,Strongly Agree,Disagree,Strongly Agree,Not at all.,Not at all.,There are fights sometimes.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/10/2021 0:27:04,40,Male,Married,Employed,"10,000 - 39,000 BDT",Nuclear Family,5,34,3,2,Rural Area,2,"40,000 - 69,999 BDT",No,No,Far but Manageable,It has increased a lot during the lockdown period,Agree,Agree,Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/10/2021 0:30:18,25,Male,Unmarried,Unemployed,I do not have any income at the moment,Extended Family,12,30,7,5,Suburban Area,2,Decline to respond,Asymptomatic,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Strongly Agree,Strongly Agree,I do feel it sometimes.,I do feel it most of the time.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/10/2021 0:46:11,47,Female,Married,Unemployed,I do not have any income at the moment,Extended Family,12,29.92,9,3,Suburban Area,3,"40,000 - 69,999 BDT",Yes,Yes,Close & Manageable.,It is the same as before the lockdown period,Agree,Neutral,Neutral,I do feel it sometimes.,I haven't paid attention.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/10/2021 1:00:28,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,25,4,0,Urban Area,1,"10,000 - 39,000 BDT",Asymptomatic,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Neutral,Neutral,I haven't paid attention.,I do feel it sometimes.,There are fights sometimes.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/10/2021 1:01:25,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,30,5,1,Urban Area,2,"40,000 - 69,999 BDT",No,No,Far but Manageable,It has increased a lot during the lockdown period,Agree,Disagree,Strongly Agree,I do feel it most of the time.,I do feel it most of the time.,Problems are often resolved before fights break out.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/10/2021 1:04:56,23,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,5,30,4,1,Urban Area,1,"40,000 - 69,999 BDT",Yes,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Agree,Agree,Agree,Not at all.,Not at all.,I haven't paid attention.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/10/2021 1:22:18,34,Female,Married,Unemployed,I do not have any income at the moment,Extended Family,10,30,9,1,Rural Area,5,"40,000 - 69,999 BDT",Yes,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Neutral,Neutral,Not at all.,I do feel it sometimes.,There are fights sometimes.,Neutral,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/10/2021 1:27:46,13,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,30,3,1,Urban Area,1,"40,000 - 69,999 BDT",Yes,No,Close & Manageable.,It has slightly increased during the lockdown period,Strongly Agree,Strongly Agree,Strongly Agree,Not at all.,Not at all.,I haven't paid attention.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/10/2021 1:38:51,22,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,28,3,1,Urban Area,1,Decline to respond,No,No,Close & Manageable.,It has slightly increased during the lockdown period,Strongly Agree,Neutral,Agree,I do feel it sometimes.,I do feel it sometimes.,There are fights sometimes.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/10/2021 3:14:35,24,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,4,26,2,1,Urban Area,2,"10,000 - 39,000 BDT",No,Yes,Close but Hard to Manage,It has slightly increased during the lockdown period,Neutral,Disagree,Neutral,I do feel it sometimes.,I do feel it sometimes.,There are fights sometimes.,Disagree,Things are always out of control. No one is responsible at times like these.,There is very little celebration on such occasions.
8/10/2021 4:12:21,25,Male,Unmarried,Student,"40,000 - 69,999 BDT",Extended Family,5,20,4,4,Suburban Area,2,"More than 100,000 BDT",Yes,Yes,Close but Hard to Manage,It is the same as before the lockdown period,Strongly Agree,Disagree,Strongly Agree,I do feel it most of the time.,I do feel it most of the time.,There hasn't been any major issue that would cause a fight.,Strongly Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/10/2021 7:04:11,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,30,5,0,Rural Area,1,"10,000 - 39,000 BDT",No,No,Far but Hard to Manage,It is the same as before the lockdown period,Disagree,Strongly Disagree,Disagree,Not at all.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Strongly Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/10/2021 7:47:37,22,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,35,4,0,Urban Area,2,Decline to respond,Yes,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Strongly Agree,Neutral,Strongly Agree,Not at all.,Not at all.,Problems are often resolved before fights break out.,Strongly Agree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/10/2021 8:54:24,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,33.75,4,0,Suburban Area,1,Decline to respond,Asymptomatic,No,Close & Manageable.,It is the same as before the lockdown period,Agree,Agree,Strongly Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/10/2021 9:19:37,20,Female,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,5,37,5,0,Urban Area,3,"40,000 - 69,999 BDT",Yes,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Agree,Disagree,Agree,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/10/2021 9:28:36,36,Male,Married,Employed,"10,000 - 39,000 BDT",Nuclear Family,4,15,2,2,Urban Area,1,"10,000 - 39,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Agree,Agree,I don't feel like there is.,I don't feel like there is.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/10/2021 9:29:26,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,30,4,0,Urban Area,2,"40,000 - 69,999 BDT",Yes,No,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Disagree,Agree,Not at all.,Not at all.,Fights are very often.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/10/2021 10:30:25,24,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,36,4,0,Urban Area,1,Decline to respond,Yes,No,Far but Manageable,It has slightly decreased during the lockdown period,Neutral,Strongly Disagree,Agree,I do feel it sometimes.,I do feel it sometimes.,There are fights sometimes.,Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
